id_municipio,nombre_localidad
1,Cozumel
1,Punta Celarain
1,Punta Molas
1,Las Palmitas
1,El Cedral
1,Palancar
1,Punta Morena
1,Xel-Ha
1,Buenavista
1,Santa Rita
1,Presidente Intercontinental
1,Punta Chiqueros
1,San Bernardo
1,San Francisco
1,San Jorge
1,Ninguno [Basurero Municipal]
1,San José
1,La Herradura
1,Caleta
1,San Manuel
1,CAPA
1,La Cotita
1,Fiesta Americana
1,María Luisa
1,Cerro Chumul
1,Dos Arbolitos
1,La Estrella
1,San Pedro
1,Gallo de Oro
1,Los Girasoles
1,Sol Estéreo
1,Los Pinos
1,San Andrés
1,San Carlos
1,México Lindo
1,El Naranjal
1,Rancho Lulú
1,María Magdalena
1,Mezcalitos
1,Nuestra Señora de Guadalupe
1,Palmar Primero
1,Aqua Dorada
1,Rancho Argüelles
1,San Gervasio
1,Paloma Negra
1,Grand Occidental
1,San Miguel Segundo
1,La Milpa
1,Sunscape
1,San Bartolo
1,Ramonales
1,San Carlos
1,La Amistad
1,Punta Arrecifes
1,La Cabaña del Pescador
1,CALICA
1,CALICA
1,Paso María
1,Chen Río
1,Chichihualco
1,Xkaliahche
1,Allegro Resort Cozumel
1,The Money Bar Beach Club
1,Los Gavilanes
1,Huerto Familiar
1,Villa Mafi
1,San Juan
1,Zazil-Beh
1,Ubaldo Verde
1,Edilberto Sosa León
1,Ix-Chel
1,Kilómetro Ocho y Medio
1,Los Nueve Hermanos
1,Tamaulipas [Rancho]
1,Kilómetro Cuatro Punto Cinco
1,Ecoparque Cuzam
1,San Miguel
1,Quinta Vimar
1,Kilómetro Doce
1,El Mariachi
1,Las Palmeras
1,Playa Bosh
1,El Paso del Cedral
1,Los Pinos
1,Playa Corona
1,Playa Mía
1,Pueblo Nuevo
1,Punta Francesa
1,El Divino Niño Jesús
1,Las Gemelas
1,Garañones
1,San Miguel
1,San Miguel
1,San Miguel Tercero
1,Javier Escalante
1,San Gabriel
1,Santa Cecilia
1,Santa Cecilia Nueva
1,Santa María
1,La Herradura
1,Playa Bonita (Punta Chiqueros)
1,San Antonio
1,San Cipriano
1,Playa San Martín
1,Nueva Esperanza
1,Chankanaab [Parque]
1,La Esperanza
1,Fausto Coral
1,San Fernando
1,Maya Luum
1,Iberostar
1,Iguanas Ranas
1,Hacienda Antigua
1,Los Tres Regalos
1,Laguna Ciega
1,La Media Luna
1,La Selva
1,Nachi Cocom
1,Rancho Palmitas
1,Pancho Tequila
1,Elio Carmichael [Escuela]
1,Rancho Alegre
1,Rancho Grande
1,Don Ranulfo
1,El Refugio
1,Ranchitos
1,Quinta la Bonita
1,Santa Teresa
1,El Curvato
1,Varadero
1,Yumka
1,Casa Tunich
1,Turquesa [Radio]
1,Isabel
1,Juan Leyenda Trigo
1,Mundo Palancar
1,Santa Rita
1,Casa de las Flores
1,Mister Sanchos
1,Villas Pavo Real
1,El Rincón [Héctor]
1,Costa del Sol
1,Las Fincas
1,Paradise Condominiums
1,Casa Birdie
1,Ninguno
1,El Cielo [Villas]
1,Paradise Beach
1,Residencias Reef
1,Las Uvas
1,Las Ventanas
1,Villa Dos
1,Villa Tikal
1,Los Abuelos
1,Cozumeleño
1,Guadalupe del Carmen
1,La Huerta
1,Kilómetro Ocho y Medio
1,Rancho Enríquez
1,Rancho Palomo
1,El Refugio
1,San Nicolás
1,Bodoquito
1,Bosh Balam
1,De los Santos
1,Discover México
1,Don Miguel
1,Eduardo Toledo Parra
1,Tres Marías
1,Gabriel y Gabriela
1,Gastón Cantarell
1,El Gato
1,Isla de la Pasión
1,Isla Maya
1,Luis Alcérreca
1,Peña Bohemia
1,Las Perlitas
1,San Carlos
1,San Judas Tadeo
1,Universo
1,Costa Sur
1,Don Raúl
1,El Capitán [Rancho]
1,Ilusión
1,La Princesa
1,Mariposas
1,Kilómetro Dieciocho Punto Veinticinco
1,Ninguno
1,Ninguno
1,Ninguno
1,Ninguno
1,Ninguno
1,Ninguno
1,La Esperanza
1,Ninguno
1,Ninguno
1,Linda Vista
1,Ninguno
1,Nojoch Suku'un
1,Gavilanes [Rancho]
1,San Anselmo
1,San Gervasio
1,San Lucas
1,Sandoval
1,Cozumel
1,Villa Caracoles
1,Villa Edén
1,Villa el Edén
1,Villa M II
1,Villa Yak'alil [Kilómetro Doce Punto Cinco]
1,Las Uvas
1,Eligio Marrufo Rejón
1,Rancho Escondido
1,Campeche
1,Ninguno [Rancho]
1,Rincón de Cervantes
1,San Isidro
1,San Miguel
1,Los Potros
1,Campestre
1,Las Brisas
1,Las Glorias
1,Lirios
1,Palmar
1,Residencial
1,Salgado
1,X-Kanha
2,Felipe Carrillo Puerto
2,Ignacio Manuel Altamirano
2,Betania
2,Chancah Derrepente
2,Chancah Veracruz
2,Chanchén Comandante
2,Chucab
2,Chun On
2,Chumpón
2,Chunhuás
2,Chunhuhub
2,Dzoyola
2,Dzulá
2,Filomeno Mata
2,Hobompich
2,Kancabchén
2,Komchén
2,Kopchen
2,Laguna Kaná
2,Melchor Ocampo
2,Naranjal Poniente
2,Noh-Bec
2,Noh-Cah
2,La Noria
2,Las Palmas
2,Petcacab
2,Polinkín
2,Polyuc
2,Pozo Blanco
2,Presidente Juárez
2,Casa Blanca
2,Ramonal
2,Sacrificio
2,San Andrés
2,San Felipe Berriozábal
2,San Francisco Aké
2,San Hermenegildo
2,San José Primero
2,San José Segundo
2,San Luis
2,San Ramón
2,Santa Lucía
2,Santa María Poniente
2,Santa María
2,Santa Rosa Segundo
2,Señor
2,Tabi
2,Tac-Chivo
2,Tepich
2,Tihosuco
2,Tixcacal Guardia
2,Trapich
2,Tuzik
2,Uh May
2,Santa Rita
2,Vigía Chico
2,Xaan
2,Xec-Pich
2,X-Hazil Sur
2,X-Pichil
2,X-Yatil
2,Yaxché Chal
2,Yaxley
2,Yoactún
2,Yodzonot Chico
2,Andrés Quintana Roo
2,Bella Flor
2,Canzepchén
2,El Corozo
2,Chan Chen Chuc
2,Kancabchén Segundo
2,Chan Santa Cruz
2,Chich-Muc
2,Emiliano Zapata
2,Francisco I. Madero
2,Francisco May
2,Lal-Cah
2,Mixtequilla
2,Nueva Loría
2,Nuevo Israel
2,San Bartolo
2,San Hipólito
2,Santa Rosa
2,El Triunfo
2,X-Konha
2,San Antonio Nuevo
2,Xmacnail
2,El Albur
2,Chan-Yodzonot
2,Chun Ox
2,José María Pino Suárez
2,Kampokolché
2,Kancabchén
2,Kilómetro Sesenta y Ocho
2,El Naranjal
2,Pomká
2,Rancho Grande
2,Reforma Agraria
2,San Vicente
2,La Guadalupana
2,San Pablo
2,San Severo
2,Santa Cruz
2,Santa Isabel
2,Santa Lucía
2,Santa Lucía
2,Santa Rita
2,Santa Teresa
2,Yodzonot Nuevo
2,Kancab Chén
2,El Gallito
2,Lagos
2,María Elena
2,Punta Herrero
2,San Román
2,Santa Rosa
2,Kopchen
2,San José
2,Anexa Santa Fe Segundo
2,Balché
2,Cacab
2,San José Café
2,Fitosanitaria
2,Ninguno [CBTA 80]
2,Columpich
2,La Curva
2,Chanchén
2,Dzap Tun
2,Chan Xcán
2,Chapas
2,Chayote
2,Chun Akidz
2,Chun Kulché
2,Chunhuás
2,Chun-Yah
2,Chunyaxché
2,Yoactún
2,Dzitbalché
2,Santa Teresa
2,Filadelfia
2,Flor de Mayo
2,Frontera Norte
2,Charys
2,Gallito
2,X-Pichil
2,San Francisco Aké
2,Guadalupe
2,El Coleguita
2,Hacienda
2,Hazil
2,Los Tres Reyes
2,Kankabdzonot
2,Chumpón
2,Cecilio Chí (Kilómetro Sesenta y Cuatro)
2,Los Lagartos
2,Laguna Ocom Primero
2,La Lagunita
2,Lirios
2,Las Lomas
2,Montalvo
2,Mosquiteros
2,Marín
2,Naranjal
2,Nohkancab
2,Pixoy
2,Mil Caminos
2,Pucté
2,Punta Herrero [Faro]
2,Ninguno
2,Kilómetro Dos
2,El Ramonal
2,Tampalán
2,Isla Zitipal
2,Rancho Chico
2,Centauro
2,San Martín
2,Ninguno [Rastro Municipal]
2,Zona Arqueológica
2,Sahcabchén
2,San Andrés
2,San Antonio Segundo
2,San Antonio Nuevo
2,San Carlos
2,San Daniel
2,San Diego
2,San José
2,Paytoro
2,San Jorge
2,El Humilde Campesino
2,San Lorenzo
2,San Lorenzo
2,San Miguel
2,San Pablo
2,San Pedro
2,Santa Amalia
2,Santa Clara
2,Santa Fe Segundo
2,Santa Gertrudis
2,Santa Matilde
2,San Jacinto
2,Tasistal
2,X-Huazil
2,Tres Pocitos
2,Tres Reyes
2,Tuzik
2,Tepich Dos
2,Tuzik
2,Ninguno [Vivero Municipal]
2,Caña Brava
2,Tepich
2,X-Hazil Norte
2,Xhulmi
2,La Victoria
2,Seis de Enero
2,Ninguno [UAIM]
2,Bachoco [Granja]
2,Kenia Nairobi
2,Flor de Jazmín
2,Rancho Tadeo
2,Tampak
2,Tzukum
2,San Fernando
2,El Vergel
2,El Girasol
2,Chancacab
2,Dos Cedritos
2,La Gloria
2,San Juan
2,San Lorenzo
2,San Pedro Nuevo
2,El Naranjo
2,X-Café
2,Los Tres Reyes
2,Omega
2,Andrea Angélica
2,Celso Juárez
2,CERESO
2,Dzaptún
2,Eliodoro Llovera Guzmán
2,Fausto Aké
2,El Girasol
2,Guadalupana
2,Ninguno
2,San Pedro
2,Ramón Lara
2,Tres Pozos
2,Ninguno
2,Ninguno
2,Ninguno [Corredor Frutícola]
2,Rancho Víctor
2,El Haragán
2,Jorge Espinoza
2,Kilómetro Treinta y Uno
2,Kopchén
2,Las Lagarteras
2,Los Laureles
2,Los Laureles
2,Macario Leyva
2,Mi Ranchito
2,Nicte Ha
2,El Olvido (Kulché)
2,Ramonal
2,Macehual
2,Cedralito
2,Punta Estrella
2,El Resbalón
2,Roberto Pérez
2,El Roble
2,San Antonio
2,Rocío
2,San Isidro
2,San Nicolás
2,Santa Cecilia
2,Santa Leticia
2,Sisbic
2,Tierra Prometida
2,X-Hazil Primero
2,XECPQ [Estación de Radio]
2,Xijun Kah
2,Gustavo Ché Montalvo
2,Tihosuco
2,La Ceiba
2,Fernando Serrano Trujillo
2,Lidia Arana Tun
2,Flor de Mayo
2,Las Palomas
2,Radio Turquesa
2,San Felipe
2,SEDENA
2,La Virtud
2,La Guadalupana
2,Ninguno
2,Paraíso
2,Rancho Lejos
2,Tres Potrillos
2,Chunhuhub
2,Ninguno
2,Ninguno
2,Ninguno
2,Ninguno
2,Tihosuco
2,San José
2,Chan Dzonot
2,El Edén
2,Gas de Chetumal
2,Naranjal Dos
2,El Olimpo
2,El Rey
2,Balam Nah
2,Sahcabchén
2,Blanca Flor
2,Yodzonot
2,Las Bugambilias
2,Los Chiquiles
2,Ninguno [Gasolinera]
2,Ninguno
2,Ninguno
2,Ninguno
2,La Librada
2,Rastafari Mens Club
2,Ninguno
2,Cruz-Chen
2,Mulichén
2,San Salvador
2,Villahermosa
2,Akachén
2,Aktún Kú
2,Chan Koh
2,Chimay
2,José María Pino Suárez
2,Mulichén
2,San Silverio
2,Tzuquil
2,Yalchén
2,La Maravilla
2,Los Cocos
2,San Juan Dieguito
2,El Cristo
2,La Esperanza
2,Las Golondrinas
2,Kiichpam K'áax
2,Ignacio Xool
2,Las Isabeles
2,José Guadalupe
2,Laguna Cenote
2,Ninguno
2,Ninguno
2,Ninguno
2,Ninguno
2,Marte
2,Novelo
2,Nueva Visión
2,El Perico
2,Los Ponchos
2,El Progreso
2,Sac-Tzu-Tzui
2,San Ángel
2,San Felipe
2,San Isidro
2,San José
2,San Juan
2,San Pedro
2,San Valentín
2,Sijiil Noh Ha
2,Suku'un Rich
2,Tierra Bonita
2,Tricasa
2,SEDARI [Vivero]
2,Amadamaya S.A. de C.V. [Kilómetro Ochenta y Uno]
2,Casa Arvimi
2,Chumpichi
2,El Paso
2,El Paso
2,El Pollito
2,Emilio Che Tuz
2,Estanislao Bolio Caamal
2,Ignacio Montes de Oca Carrillo
2,Isidra Koyoc
2,La Estrella [Kilómetro Ochenta y Uno]
2,La Guadalupana
2,La Guadalupana
2,La Herradura
2,Los Dos Potrillos
2,Margarito Zamora
2,María Magdalena Dzul Chuc
2,Ninguno
2,Ninguno
2,Ninguno
2,Nueva Vida
2,Pablo Jiménez Villanueva
2,Pollos a la Leña [Restaurante]
2,Primera Laguna
2,San Carreto [Cafetería]
2,San Miguel
2,San Ramón
3,Isla Mujeres
3,Isla Contoy
3,Chacmuchuch
